Model,Replication,Accuracy,F1 Score,ROC AUC, Sensitivity, Specificity,Best Parameters
Logistic Regression,1,0.9755,0.9769,0.9945, 0.9737, 0.9776,"{'C': 10, 'max_iter': 10000}"
Random Forest,1,0.9510,0.9507,0.9850, 0.9783, 0.9257,"{'max_depth': 20, 'n_estimators': 50}"
Logistic Regression,2,0.9720,0.9697,0.9944, 0.9697, 0.9740,"{'C': 10, 'max_iter': 10000}"
Random Forest,2,0.9685,0.9693,0.9906, 0.9861, 0.9507,"{'max_depth': 20, 'n_estimators': 200}"
Logistic Regression,3,0.9860,0.9863,0.9950, 0.9931, 0.9787,"{'C': 10, 'max_iter': 10000}"
Random Forest,3,0.9545,0.9531,0.9914, 0.9362, 0.9724,"{'max_depth': 10, 'n_estimators': 100}"
Logistic Regression,4,0.9825,0.9819,0.9970, 0.9855, 0.9797,"{'C': 10, 'max_iter': 10000}"
Random Forest,4,0.9650,0.9667,0.9909, 0.9603, 0.9704,"{'max_depth': 10, 'n_estimators': 50}"
Logistic Regression,5,0.9650,0.9660,0.9940, 0.9861, 0.9437,"{'C': 10, 'max_iter': 10000}"
Random Forest,5,0.9720,0.9706,0.9981, 0.9635, 0.9799,"{'max_depth': 20, 'n_estimators': 50}"
Logistic Regression,6,0.9615,0.9630,0.9955, 0.9470, 0.9778,"{'C': 10, 'max_iter': 10000}"
Random Forest,6,0.9510,0.9474,0.9928, 0.9474, 0.9542,"{'max_depth': 20, 'n_estimators': 100}"
Logistic Regression,7,0.9755,0.9761,0.9951, 0.9931, 0.9577,"{'C': 10, 'max_iter': 10000}"
Random Forest,7,0.9615,0.9619,0.9956, 0.9653, 0.9577,"{'max_depth': 20, 'n_estimators': 50}"
Logistic Regression,8,0.9755,0.9754,0.9938, 0.9858, 0.9655,"{'C': 10, 'max_iter': 10000}"
Random Forest,8,0.9650,0.9658,0.9926, 0.9592, 0.9712,"{'max_depth': 5, 'n_estimators': 100}"
Logistic Regression,9,0.9860,0.9854,0.9992, 0.9783, 0.9932,"{'C': 10, 'max_iter': 10000}"
Random Forest,9,0.9510,0.9504,0.9896, 0.9710, 0.9324,"{'max_depth': 20, 'n_estimators': 100}"
Logistic Regression,10,0.9685,0.9686,0.9934, 0.9789, 0.9583,"{'C': 10, 'max_iter': 10000}"
Random Forest,10,0.9615,0.9591,0.9916, 0.9699, 0.9542,"{'max_depth': 20, 'n_estimators': 200}"
Logistic Regression,11,0.9860,0.9854,0.9987, 0.9854, 0.9866,"{'C': 10, 'max_iter': 10000}"
Random Forest,11,0.9650,0.9653,0.9928, 0.9653, 0.9648,"{'max_depth': 20, 'n_estimators': 200}"
Logistic Regression,12,0.9650,0.9630,0.9955, 0.9924, 0.9419,"{'C': 10, 'max_iter': 10000}"
Random Forest,12,0.9685,0.9691,0.9974, 0.9592, 0.9784,"{'max_depth': 20, 'n_estimators': 100}"
Logistic Regression,13,0.9755,0.9773,0.9939, 0.9742, 0.9771,"{'C': 10, 'max_iter': 10000}"
Random Forest,13,0.9685,0.9663,0.9961, 0.9627, 0.9737,"{'max_depth': 20, 'n_estimators': 200}"
Logistic Regression,14,0.9860,0.9847,0.9966, 0.9847, 0.9871,"{'C': 10, 'max_iter': 10000}"
Random Forest,14,0.9720,0.9728,0.9983, 0.9662, 0.9783,"{'max_depth': 10, 'n_estimators': 200}"
Logistic Regression,15,0.9720,0.9732,0.9917, 0.9667, 0.9779,"{'C': 10, 'max_iter': 10000}"
Random Forest,15,0.9615,0.9611,0.9988, 0.9252, 1.0000,"{'max_depth': 10, 'n_estimators': 50}"
Logistic Regression,16,0.9825,0.9822,0.9972, 0.9787, 0.9862,"{'C': 10, 'max_iter': 10000}"
Random Forest,16,0.9441,0.9463,0.9906, 0.9338, 0.9556,"{'max_depth': 5, 'n_estimators': 200}"
Logistic Regression,17,0.9720,0.9748,0.9894, 0.9810, 0.9609,"{'C': 10, 'max_iter': 10000}"
Random Forest,17,0.9615,0.9558,0.9911, 0.9444, 0.9750,"{'max_depth': 20, 'n_estimators': 100}"
Logistic Regression,18,0.9790,0.9793,0.9914, 0.9930, 0.9650,"{'C': 10, 'max_iter': 10000}"
Random Forest,18,0.9685,0.9668,0.9979, 0.9493, 0.9865,"{'max_depth': 10, 'n_estimators': 200}"
Logistic Regression,19,0.9790,0.9797,0.9965, 0.9797, 0.9783,"{'C': 10, 'max_iter': 10000}"
Random Forest,19,0.9685,0.9682,0.9943, 0.9716, 0.9655,"{'max_depth': 20, 'n_estimators': 100}"
Logistic Regression,20,0.9720,0.9710,0.9939, 0.9853, 0.9600,"{'C': 1, 'max_iter': 10000}"
Random Forest,20,0.9441,0.9429,0.9932, 0.9296, 0.9583,"{'max_depth': 20, 'n_estimators': 100}"
Logistic Regression,21,0.9825,0.9815,0.9962, 0.9779, 0.9867,"{'C': 10, 'max_iter': 10000}"
Random Forest,21,0.9755,0.9763,0.9914, 0.9796, 0.9712,"{'max_depth': 10, 'n_estimators': 50}"
Logistic Regression,22,0.9860,0.9858,0.9990, 1.0000, 0.9728,"{'C': 10, 'max_iter': 10000}"
Random Forest,22,0.9720,0.9718,0.9961, 0.9857, 0.9589,"{'max_depth': 20, 'n_estimators': 200}"
Logistic Regression,23,0.9790,0.9799,0.9901, 0.9865, 0.9710,"{'C': 10, 'max_iter': 10000}"
Random Forest,23,0.9441,0.9433,0.9919, 0.9301, 0.9580,"{'max_depth': 20, 'n_estimators': 200}"
Logistic Regression,24,0.9860,0.9833,0.9988, 0.9833, 0.9880,"{'C': 10, 'max_iter': 10000}"
Random Forest,24,0.9650,0.9635,0.9935, 0.9778, 0.9536,"{'max_depth': 20, 'n_estimators': 50}"
Logistic Regression,25,0.9615,0.9585,0.9931, 0.9769, 0.9487,"{'C': 10, 'max_iter': 10000}"
Random Forest,25,0.9580,0.9592,0.9937, 0.9400, 0.9779,"{'max_depth': 10, 'n_estimators': 50}"
Logistic Regression,26,0.9790,0.9776,0.9944, 0.9776, 0.9803,"{'C': 10, 'max_iter': 10000}"
Random Forest,26,0.9755,0.9749,0.9973, 0.9645, 0.9862,"{'max_depth': 20, 'n_estimators': 100}"
Logistic Regression,27,0.9790,0.9779,0.9972, 0.9852, 0.9735,"{'C': 10, 'max_iter': 10000}"
Random Forest,27,0.9615,0.9622,0.9930, 0.9396, 0.9854,"{'max_depth': 10, 'n_estimators': 50}"
Logistic Regression,28,0.9755,0.9756,0.9948, 0.9929, 0.9586,"{'C': 10, 'max_iter': 10000}"
Random Forest,28,0.9790,0.9793,0.9928, 0.9726, 0.9857,"{'max_depth': 20, 'n_estimators': 50}"
Logistic Regression,29,0.9825,0.9819,0.9964, 0.9855, 0.9797,"{'C': 10, 'max_iter': 10000}"
Random Forest,29,0.9755,0.9736,0.9956, 0.9627, 0.9868,"{'max_depth': 10, 'n_estimators': 100}"
Logistic Regression,30,0.9720,0.9722,0.9917, 0.9859, 0.9583,"{'C': 10, 'max_iter': 10000}"
Random Forest,30,0.9685,0.9682,0.9962, 0.9514, 0.9859,"{'max_depth': 10, 'n_estimators': 200}"
